"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,58,"HRV","Croatia",1,"Šibensko-Kninska","HR.SB",NA,"","Županija","County","","Šibenik"
2,58,"HRV","Croatia",2,"Bjelovarska-Bilogorska","HR.BB",NA,"","Županija","County","","Bjelovar-Bilagora"
3,58,"HRV","Croatia",3,"Brodsko-Posavska","HR.SP",NA,"","Županija","County","","Slavonski Brod-Posavina"
4,58,"HRV","Croatia",4,"Dubrovacko-Neretvanska","HR.DN",NA,"","Županija","County","","Dubrovnik-Neretva"
5,58,"HRV","Croatia",5,"Grad Zagreb","HR.GZ",NA,"","Grad","City","",""
6,58,"HRV","Croatia",6,"Istarska","HR.IS",NA,"","Županija","County","","Istra"
7,58,"HRV","Croatia",7,"Karlovacka","HR.KA",NA,"","Županija","County","","Karlovac"
8,58,"HRV","Croatia",8,"Koprivnicko-Križevacka","HR.KK",NA,"","Županija","County","","Koprivnica-Križevci"
9,58,"HRV","Croatia",9,"Krapinsko-Zagorska","HR.KZ",NA,"","Županija","County","","Krapina-Zagorje"
10,58,"HRV","Croatia",10,"Licko-Senjska","HR.LS",NA,"","Županija","County","","Lika-Senj"
11,58,"HRV","Croatia",11,"Medimurska","HR.ME",NA,"","Županija","County","","Medimurje"
12,58,"HRV","Croatia",12,"Osjecko-Baranjska","HR.OB",NA,"","Županija","County","","Osijek-Baranja"
13,58,"HRV","Croatia",13,"Požeško-Slavonska","HR.PS",NA,"","Županija","County","","Požega-Slavonija"
14,58,"HRV","Croatia",14,"Primorsko-Goranska","HR.PG",NA,"","Županija","County","","Primorje-Gorski Kotar"
15,58,"HRV","Croatia",15,"Sisacko-Moslavacka","HR.SM",NA,"","Županija","County","","Sisak-Moslavina"
16,58,"HRV","Croatia",16,"Splitsko-Dalmatinska","HR.SD",NA,"","Županija","County","","Split-Dalmacia"
17,58,"HRV","Croatia",17,"Varaždinska","HR.VA",NA,"","Županija","County","","Varaždin|Varasd"
18,58,"HRV","Croatia",18,"Viroviticko-Podravska","HR.VP",NA,"","Županija","County","","Virovitica-Podravina"
19,58,"HRV","Croatia",19,"Vukovarsko-Srijemska","HR.VS",NA,"","Županija","County","","Vukovar-Srijem"
20,58,"HRV","Croatia",20,"Zadarska","HR.ZD",NA,"","Županija","County","","Zadar-Knin"
21,58,"HRV","Croatia",21,"Zagrebacka","HR.ZG",NA,"","Županija","County","","Zagreb"
